,type,name,folow_to,length_km,area_km²,edge
10392,Ручьи,"руч.  Вилья  (Вялья,  Велья)",река  Дрезна  (Дрозна),13,0,Дрезна  (Дрозна)
10393,Ручьи,руч.  Водолей,река  ПЬЯНА,10,0,ПЬЯНА
10394,Ручьи,руч.  Водопре,река  Вадок  (Водок),13,0,Вадок  (Водок)
10395,Река,Вадок  (Водок),река  ПЬЯНА,56,668,ПЬЯНА
10396,Ручьи,руч.  Волочна,река  Колпь,15,0,Колпь
10397,Ручьи,руч.  Вышкарь,река  РУТКА,19,131,РУТКА
10398,Ручьи,руч.  Вяземский,река  Колпь,10,0,Колпь
10399,Озеро,Ольешское,ручьи  руч.  Вяземский,"0,5",0,руч.  Вяземский
10400,Ручьи,руч.  Гасня,река  Ворчала  (Корчала),10,0,Ворчала  (Корчала)
10401,Река,Ворчала  (Корчала),река  Большая  Коша,33,274,Большая  Коша
10402,Ручьи,руч.  Гнездетовка,река  ОСУГА,11,0,ОСУГА
10403,Ручьи,руч.  Горянский,река  Рачайна,10,0,Рачайна
10404,Ручьи,руч.  Гремучий,река  Иловец,12,0,Иловец
10405,Река,Иловец,озеро  Павловское,22,368,Павловское
10406,Ручьи,руч.  Десна,река  Кокша,14,0,Кокша
10407,Река,Кокша,река  Волга,36,186,Волга
10408,Ручьи,руч.  Добрый,река  Волга,19,"31,8",Волга
10409,Ручьи,руч.  Дришенка,река  Кобожа,10,0,Кобожа
10412,Ручьи,руч.  Еменец,река  Молога,11,0,Молога
10413,Ручьи,руч.  Ермиска,река  ОТВЕЛЬ,11,0,ОТВЕЛЬ
10414,Река,ОТВЕЛЬ,река  ВЯДЯ,17,138,ВЯДЯ
10415,Ручьи,руч.  Желанный,река  ПЬЯНА,14,0,ПЬЯНА
10416,Ручьи,руч.  Жулебинка,река  ГЖАТЬ,15,"85,7",ГЖАТЬ
10417,Ручьи,руч.  Захарка,река  Монза,11,0,Монза
10418,Река,Монза,река  Кострома,96,1240,Кострома
10419,Ручьи,руч.  Золотой,река  Иштома,11,0,Иштома
10420,Ручьи,руч.  Ивановский,река  Звана,10,0,Звана
10421,Ручьи,руч.  Имбушка,река  Веля,12,0,Веля
10422,Река,Веля,река  Дубна,66,316,Дубна
10423,Ручьи,"руч.  Инеш  (руч.  Калмаксар,  руч.  Иниш)",река  Кубня,14,"53,4",Кубня
10424,Ручьи,руч.  Инопаш,водохранилище  вдхр  Горьковское,10,0,вдхр  Горьковское
10425,Ручьи,руч.  Камариха,река  Яхрома  верхняя  (Большая  Яхрома),11,0,Яхрома  верхняя  (Большая  Яхрома)
10427,Ручьи,руч.  Кейручей,река  Вынокса,10,0,Вынокса
10428,Река,Вынокса,река  Индоманка  (Большая  Индоманка),18,133,Индоманка  (Большая  Индоманка)
10429,Ручьи,руч.  Кемлятка,река  АЛАТЫРЬ,23,118,АЛАТЫРЬ
10430,Река,"без  названия,  у  с.  Хохлы",ручьи  руч.  Кемлятка,14,0,руч.  Кемлятка
10431,Ручьи,руч.  Киватка,река  БАРЫШ,10,0,БАРЫШ
10432,Ручьи,руч.  Кивой,река  Ножема,18,136,Ножема
10433,Озеро,Нижнее  Кивозеро,ручьи  руч.  Кивой,"0,68","19,5",руч.  Кивой
10434,Ручьи,руч.  Киртилька,"река  Кильна  (Кильна-Кна,  Кна)",13,"52,3","Кильна  (Кильна-Кна,  Кна)"
10435,Ручьи,руч.  Китьма,река  Молога,24,"78,3",Молога
10438,Ручьи,руч.  Ковыш,река  Кострома,12,0,Кострома
10439,Ручьи,руч.  Коркомля,река  Кобожа,12,0,Кобожа
10440,Озеро,Кочкомское,ручьи  руч.  Кочкомручей,"0,59","4,7",руч.  Кочкомручей
10441,Ручьи,руч.  Кочуновский  (руч.  Свиной),река  АМОРДА,14,0,АМОРДА
10442,Река,АМОРДА,река  ИНСАР,47,608,ИНСАР
10443,Ручьи,руч.  Красиха,река  Лойка,11,0,Лойка
10444,Ручьи,руч.  Красный,озеро  Пяжозеро,10,0,Пяжозеро
10445,Озеро,Пяжозеро,река  Пяжелка,13,113,Пяжелка
10446,Ручьи,руч.  Крутец,река  Пумина,11,0,Пумина
10447,Ручьи,руч.  Кувайка  (Клеванина),река  БАРЫШ,18,105,БАРЫШ
10448,Ручьи,руч.  Куйминка,река  Дубна,18,"99,6",Дубна
10449,Ручьи,руч.  Куляк,река  Молога,11,0,Молога
10451,Ручьи,руч.  Куржам,река  Люнда,11,0,Люнда
10452,Ручьи,руч.  Курман,река  ДОРОГУЧА,10,0,ДОРОГУЧА
10453,Река,ДОРОГУЧА,река  Волга,94,670,Волга
10454,Ручьи,руч.  Кутельма  (Сельская),река  Белая  Воложка  (Атиково),14,"52,5",Белая  Воложка  (Атиково)
10456,Ручьи,руч.  Куч-Мыж,река  Арда,16,62,Арда
10457,Река,Арда,река  Волга,44,351,Волга
10458,Ручьи,руч.  Ладенка,река  ГЖАТЬ,10,0,ГЖАТЬ
10459,Ручьи,руч.  Лапач  (Лопач),река  Кумсара,12,0,Кумсара
10460,Ручьи,руч.  Локнаш,река  Локнаш,12,0,Локнаш
10461,Река,Локнаш,река  Большая  Сестра  (Сестра),35,193,Большая  Сестра  (Сестра)
10462,Ручьи,руч.  Лосинец,река  Молога,11,0,Молога
10463,Озеро,Лощинка,ручьи  руч.  Лощинка  (Озеричка),"0,34",0,руч.  Лощинка  (Озеричка)
10464,Ручьи,руч.  Лысенок,река  Лусса,26,"81,5",Лусса
10465,Река,Лусса,река  ОСУГА,42,267,ОСУГА
10466,Ручьи,руч.  Любица,река  Поведь,12,0,Поведь
10467,Река,Поведь,река  ОСУГА,99,743,ОСУГА
10468,Ручьи,руч.  Малая  Жидоховка  (руч.  Жидохов),река  Жидоховка,23,"69,6",Жидоховка
10469,Ручьи,руч.  Малая  Лобца,ручьи  руч.  Большая  Лобца,12,0,руч.  Большая  Лобца
10470,Ручьи,руч.  Большая  Лобца,река  Лобь  (Лов),8,0,Лобь  (Лов)
10471,Ручьи,руч.  Малая  Низмица,река  Низмица,13,"36,1",Низмица
10472,Ручьи,руч.  Малая  Якшенка,река  ПЬЯНА,18,71,ПЬЯНА
10473,Ручьи,руч.  Малица,ручьи  МЕЖУРКА,"4,6","12,3",МЕЖУРКА
10474,Ручьи,МЕЖУРКА,река  Волга,"9,2",0,Волга
10475,Ручьи,руч.  Матвеица,река  Ретуня,13,0,Ретуня
10478,Ручьи,руч.  Межник,река  Мошенка  (Замошенка),13,0,Мошенка  (Замошенка)
10479,Ручьи,руч.  Мельчарка  (руч.  Мочилище),река  ИНСАР,14,0,ИНСАР
10480,Ручьи,руч.  Меминка,река  Меминка,13,"67,6",Меминка
10481,Ручьи,руч.  Михайловский  Овраг,река  Матуровка,"1,8","3,2",Матуровка
10483,Ручьи,руч.  Михеевка,река  Большая  Езань  (Езань),14,0,Большая  Езань  (Езань)
10484,Река,Большая  Езань  (Езань),река  Кострома,34,125,Кострома
10485,Ручьи,руч.  Мокрая  Вейка,река  Вейка,13,0,Вейка
10486,Река,Вейка,река  Иресть  (Ирсеть),22,117,Иресть  (Ирсеть)
10488,Ручьи,руч.  Мошный  (Почеповка),река  Величка,17,"28,1",Величка
10490,Ручьи,руч.  Мякинница,река  Нашига,12,0,Нашига
10491,Ручьи,руч.  Намесковский,река  Молога,15,"53,4",Молога
10492,Ручьи,руч.  Нежнурка,река  РУТКА,13,0,РУТКА
10493,Ручьи,руч.  Новаженка,река  ПЬЯНА,16,"75,5",ПЬЯНА
10494,Ручьи,руч.  Ночной  Вол,река  Вол  (Полдневой  Вол),10,0,Вол  (Полдневой  Вол)
10495,Ручьи,руч.  Нюша,река  Крупень  (Ропля),15,0,Крупень  (Ропля)
10496,Озеро,Белое,ручьи  руч.  Нюша,"0,3",0,руч.  Нюша
10497,Ручьи,руч.  Оболотье,река  Звана,12,0,Звана
10498,Ручьи,руч.  Орлесня,река  Кава,7,38,Кава
10500,Ручьи,руч.  Пелевин,река  Павловка  (Саха),10,0,Павловка  (Саха)
10501,Ручьи,руч.  Перелесок,река  ПЬЯНА,10,0,ПЬЯНА
10502,Ручьи,руч.  Переменка,река  Мелеча,13,0,Мелеча
10503,Ручьи,руч.  Перька  (Печеников),река  Молога,10,0,Молога
10504,Ручьи,руч.  Песчанка,озеро  Кезадра,11,0,Кезадра
10505,Озеро,Кезадра,река  Кеза,"8,7",120,Кеза
10506,Ручьи,руч.  Песчаный,река  МАЛЫЙ  ЦИВИЛЬ,10,34,МАЛЫЙ  ЦИВИЛЬ
10507,Ручьи,руч.  Пила,река  Ежать,11,0,Ежать
10508,Ручьи,руч.  Пинжиялка,река  Аржеваж,13,0,Аржеваж
10509,Река,Аржеваж,река  Кума,14,0,Кума
10510,Ручьи,руч.  Плашиха  (Ойка),река  Лойка,13,0,Лойка
10511,Ручьи,руч.  Покшелей,река  Пьянка,11,0,Пьянка
10512,Река,Пьянка,река  ПЬЯНА,18,165,ПЬЯНА
10513,Ручьи,руч.  Полевой  Сивьюг,река  Ида,12,"28,3",Ида
10515,Ручьи,руч.  Попов,река  Колошма,18,"75,7",Колошма
10516,Ручьи,руч.  Потемка,река  Кесьма,18,"95,1",Кесьма
10517,Река,Рагоська,ручьи  руч.  Потемка,10,0,руч.  Потемка
10518,Ручьи,руч.  Протомой,река  Нерль  (Векса  Плещеевская),11,0,Нерль  (Векса  Плещеевская)
10519,Ручьи,руч.  Прусовка,река  ОСУГА,12,0,ОСУГА
10521,Ручьи,руч.  Пятковский,"река  Малая  Пудица  (Пудица,  Нижняя  Пудица)",10,0,"Малая  Пудица  (Пудица,  Нижняя  Пудица)"
10522,Река,"Малая  Пудица  (Пудица,  Нижняя  Пудица)",водохранилище  вдхр  Угличское,60,489,вдхр  Угличское
10523,Ручьи,руч.  Радочино,река  Мережка,13,0,Мережка
10524,Ручьи,руч.  Ретивый,река  Пода,11,0,Пода
10525,Ручьи,руч.  Речица,река  Мережа,12,0,Мережа
10526,Ручьи,руч.  Ризва,река  Левжа  (Подольха),12,0,Левжа  (Подольха)
10527,Река,Левжа  (Подольха),река  ИНСАР,31,189,ИНСАР
10528,Ручьи,руч.  Рогозенка,река  Кесьма,10,0,Кесьма
10529,Река,Кесьма,водохранилище  вдхр  Рыбинское,83,618,вдхр  Рыбинское
10530,Ручьи,руч.  Ройка,река  ПЬЯНА,13,0,ПЬЯНА
10532,Ручьи,руч.  Роман,река  Индоманка  (Большая  Индоманка),10,0,Индоманка  (Большая  Индоманка)
10533,Ручьи,руч.  Ростошня,река  Мелеча,23,"73,3",Мелеча
10534,Ручьи,руч.  Рубцовка,река  Иресть  (Ирсеть),11,0,Иресть  (Ирсеть)
10535,Река,Иресть  (Ирсеть),река  АЛАТЫРЬ,45,437,АЛАТЫРЬ
10537,Ручьи,руч.  Самойловский,река  Катай,10,0,Катай
10538,Река,Катай,река  Ижма,14,0,Ижма
10539,Река,"без  названия,  у  с.  Наваты",ручьи  руч.  Светлый  Ключ,15,"52,9",руч.  Светлый  Ключ
10540,Ручьи,руч.  Селянка,водохранилище  вдхр  Горьковское,10,0,вдхр  Горьковское
10541,Ручьи,руч.  Серахта,река  Кострома,11,0,Кострома
10542,Ручьи,руч.  Сермос,река  Мезенда  (Мензенда),12,0,Мезенда  (Мензенда)
10543,Река,Мезенда  (Мензенда),река  Кострома,47,174,Кострома
10544,Ручьи,руч.  Смородинка,река  Медведица,13,0,Медведица
10545,Ручьи,руч.  Сныва,река  ИРСЕТЬ,10,0,ИРСЕТЬ
10546,Река,ИРСЕТЬ,река  РУДНЯ,50,381,РУДНЯ
10547,Ручьи,руч.  Сондольский,река  Ножема,11,0,Ножема
10548,Озеро,Каргозеро,ручьи  руч.  Сондольский,"0,88","5,7",руч.  Сондольский
10549,Ручьи,руч.  Сора,река  Куштавка,13,0,Куштавка
10550,Ручьи,руч.  Сора  (Мосино),река  Иштома,14,0,Иштома
10551,Река,Иштома,река  Андога,24,160,Андога
10552,Ручьи,руч.  Сорка,река  Колпца,11,0,Колпца
10553,Ручьи,руч.  Сосновый,река  Курба,10,0,Курба
10554,Река,Курба,река  Колошма,28,390,Колошма
10556,Ручьи,руч.  Сумалейка,река  Аза,12,0,Аза
10557,Река,Аза,река  ПЬЯНА,29,164,ПЬЯНА
10558,Ручьи,руч.  Сурчук  (Сырчуга),река  Рам,12,0,Рам
10560,Ручьи,руч.  Суходол,река  Майна,13,0,Майна
10561,Река,Майна,река  БАРЫШ,23,450,БАРЫШ
10562,Ручьи,руч.  Сухой  Пар,река  Пары,11,0,Пары
10563,Река,Пары,река  ПЬЯНА,38,308,ПЬЯНА
10564,Ручьи,руч.  Сухой  Пензятка  (Сухая  Пенза),река  ИНСАР,18,66,ИНСАР
10565,Река,Лямбирка,ручьи  руч.  Сухой  Пензятка  (Сухая  Пенза),10,0,руч.  Сухой  Пензятка  (Сухая  Пенза)
10566,Ручьи,руч.  Талец,река  Звана,10,0,Звана
10567,Озеро,Белинец,ручьи  руч.  Талец,"0,4",0,руч.  Талец
10569,Ручьи,руч.  Тахтала  (руч.  Таланиха),река  КАДАДА,14,0,КАДАДА
10570,Ручьи,руч.  Тишков,река  Ида,10,58,Ида
10571,Река,Ида,река  Вига,110,1040,Вига
10572,Ручьи,руч.  Тоехта,река  Зимняя  Тоехта,10,0,Зимняя  Тоехта
10573,Ручьи,руч.  Углас,река  Нерль  (Векса  Плещеевская),13,"44,2",Нерль  (Векса  Плещеевская)
10574,Ручьи,руч.  Ундроса  (руч.  Глухой),река  Звана,15,"55,5",Звана
10575,Река,"без  названия,  у  с.  Теньковки",ручьи  руч.  Уренек,13,0,руч.  Уренек
10576,Ручьи,руч.  Устровочка,река  Мелеча,10,0,Мелеча
10577,Река,Мелеча,река  Осень,95,1310,Осень
10578,Ручьи,руч.  Ушаковка,река  ВАЛАВА,13,0,ВАЛАВА
10581,Ручьи,руч.  Черная  Речка,река  Иреть,12,0,Иреть
10582,Ручьи,руч.  Черно-Песчаный,река  МАЛЫЙ  ЦИВИЛЬ,12,"30,2",МАЛЫЙ  ЦИВИЛЬ
10583,Ручьи,руч.  Черноречка,река  КОШЛАУШКА,12,57,КОШЛАУШКА
10584,Река,КОШЛАУШКА,река  МАЛЫЙ  ЦИВИЛЬ,28,213,МАЛЫЙ  ЦИВИЛЬ
10585,Ручьи,руч.  Черноручей,река  Жидоховка,12,0,Жидоховка
10586,Ручьи,руч.  Черный,река  Ледбал,11,0,Ледбал
10587,Ручьи,руч.  Черный,река  Молога,12,0,Молога
10588,Ручьи,руч.  Черный,река  Медведица,11,0,Медведица
10589,Ручьи,руч.  Чернь  (Чернуха),река  Могоча,18,"50,4",Могоча
10590,Река,Могоча,река  Осень,106,1880,Осень
10591,Ручьи,руч.  Чернявка,река  Ивица,14,0,Ивица
10592,Река,Ивица,река  Медведица,51,397,Медведица
10593,Ручьи,руч.  Чертолье,водохранилище  вдхр  Рыбинское,10,0,вдхр  Рыбинское
10594,Ручьи,руч.  Шебдас,река  ИНСАР,12,0,ИНСАР
10595,Ручьи,руч.  Шеланда,река  Кубня,14,"75,6",Кубня
10596,Ручьи,руч.  Шелокшонка,река  КУДЬМА,17,"86,4",КУДЬМА
10597,Ручьи,руч.  Шукшова,река  РУДНЯ,15,"38,6",РУДНЯ
10598,Ручьи,руч.  Шушбой  (Мокруша),река  Кумсара,11,0,Кумсара
10599,Река,Кумсара,река  Казара,50,243,Казара
10600,Ручьи,руч.  Южовка,река  Большой  Кундыш,10,46,Большой  Кундыш
10602,Ручьи,руч.  Яровой  (Брюховский),река  Молога,11,0,Молога
10603,Река,Руша,река  Обнора,34,105,Обнора
10604,Река,Горня,река  Рыбина,12,0,Рыбина
10605,Озеро,Колодно,река  Рыбина,"0,44",0,Рыбина
10606,Река,Рыбинка,водохранилище  вдхр  Горьковское,"8,3",0,вдхр  Горьковское
10607,Озеро,Рыбино,река  Рыбина,"0,3",0,Рыбина
10609,Озеро,Буозеро,река  Рыбница,"0,86",0,Рыбница
10610,Озеро,Давыдовское,река  Рыбница,"0,54",0,Рыбница
10611,Озеро,Кольдема,река  Рыбница,"0,58",0,Рыбница
10612,Река,Рыдоложь  (Паросло),река  Меглинка  (Меглина),40,234,Меглинка  (Меглина)
10613,Озеро,Рыдоложь,река  Рыдоложь  (Паросло),"2,3",186,Рыдоложь  (Паросло)
10614,Река,Рыкуша,водохранилище  вдхр  Горьковское,22,95,вдхр  Горьковское
10615,Река,РЫКША,река  БОЛЬШОЙ  ЦИВИЛЬ,39,254,БОЛЬШОЙ  ЦИВИЛЬ
10616,Река,БОЛЬШОЙ  ЦИВИЛЬ,река  Волга,170,4690,Волга
10618,Река,Рюмина,река  Мокза  (Могза),16,"46,1",Мокза  (Могза)
10619,Озеро,Рюмниково  (Рюмниковское),река  Пухлома,"1,56","8,9",Пухлома
10620,Река,Рюндюг  (Рюндюк),река  ВОХМА,14,0,ВОХМА
10621,Река,Рясня,река  Большая  Коша,21,101,Большая  Коша
10622,Река,Сабля,река  Кубрь  (Кубря),15,110,Кубрь  (Кубря)
10623,Река,Сабля,река  Нерль  (Векса  Плещеевская),78,871,Нерль  (Векса  Плещеевская)
10624,Река,Кисьма,река  Сабля,32,198,Сабля
10626,Река,Саванка,река  Ратыня,34,141,Ратыня
10627,Река,Ратыня,река  Молога,69,655,Молога
10628,Озеро,Савельево,река  Кубрь  (Кубря),"0,44","25,2",Кубрь  (Кубря)
10629,Река,Кубрь  (Кубря),река  Нерль  (Векса  Плещеевская),91,1010,Нерль  (Векса  Плещеевская)
10632,Река,Саводранка,река  Вопша  (Ухтанка),20,"90,3",Вопша  (Ухтанка)
10633,Река,Лапковка,река  Саводранка,10,0,Саводранка
10635,Река,Ольховка,река  Садва,15,"35,8",Садва
10637,Озеро,Патринозеро,озеро  Сайно,"0,74","10,1",Сайно
10638,Река,Салик,река  ВАЗУЗА,33,214,ВАЗУЗА
10639,Река,ВАЗУЗА,река  Волга,162,7120,Волга
10640,Река,Салминка,река  ИНСАР,16,53,ИНСАР
10641,Река,Саля,река  ПЬЯНА,37,234,ПЬЯНА
10642,Река,Пустошка,река  Саля,15,"77,7",Саля
10643,Река,Сам,река  Быстрая,12,0,Быстрая
10644,Река,Быстрая,река  Валченка,14,107,Валченка
10645,Река,Самбуриха  (Решетиха),"река  Лахость  (Черная,  Сорохта)",16,"62,9","Лахость  (Черная,  Сорохта)"
10647,Река,Самородка,река  БАРЫШ,13,0,БАРЫШ
10648,Озеро,Возьмозеро,река  Самсарка  (Сомсорка),"0,42","30,4",Самсарка  (Сомсорка)
10649,Озеро,Заробозеро,река  Самсарка  (Сомсорка),"2,5",131,Самсарка  (Сомсорка)
10650,Река,Санда,река  Письма,13,0,Письма
10651,Река,Письма,река  Кострома,49,259,Кострома
10652,Река,Санихта,водохранилище  вдхр  Горьковское,28,126,вдхр  Горьковское
10653,Ручьи,Боровичка  (руч.  Большая  Боровичка),река  Санохта  (Белая  Санохта),11,0,Санохта  (Белая  Санохта)
10654,Ручьи,"Сантеревка  (Крутец,  руч.  Лустош)",река  Кеза,11,0,Кеза
10655,Река,Кеза,река  Линда,52,445,Линда
10656,Река,Пухлома,река  Сара,21,153,Сара
10657,Река,Кось,река  Сара,25,119,Сара
10658,Река,Печегда,река  Сара,16,"62,9",Сара
10659,Река,Сара,река  Ваткома,17,"74,2",Ваткома
10661,Река,Сарагожа,река  Молога,53,918,Молога
10662,Река,Железинка,река  Сарагожа,28,192,Сарагожа
10663,Река,Обретинка  (Обретенка),река  Сарагожа,25,118,Сарагожа
10664,Река,Блазновка  (Спасовка),река  Сарагожа,13,0,Сарагожа
10665,Озеро,Павловское,река  Сарагожа,"0,8",421,Сарагожа
10666,Река,Сарга,река  ПЬЯНА,16,104,ПЬЯНА
10667,Река,Сарка,река  Большой  Юг,22,153,Большой  Юг
10668,Река,Даравка,река  Сарка,10,0,Сарка
10669,Река,Бодье,река  Сарка,12,0,Сарка
10670,Озеро,Клиновицкое,река  Сарка  (Сара),"0,34",0,Сарка  (Сара)
10671,Река,Сарожка,река  Курба,14,0,Курба
10672,Река,Мелозерка,река  Сарожка,10,0,Сарожка
10673,Озеро,Сарозеро,озеро  Маткозеро,"0,69",10,Маткозеро
10674,Озеро,Маткозеро,река  Корба  (Сомболка),"0,62","16,4",Корба  (Сомболка)
10678,Озеро,"Сарозеро,  нижнее",река  Колошма,"0,6","6,15",Колошма
10679,Река,Саутина,река  Рыбница,12,0,Рыбница
10680,Река,Рыбница,озеро  Радионское,39,335,Радионское
10681,Река,Саха,река  Кусь,15,"55,7",Кусь
10684,Река,Сверкунья,река  Андоба,10,0,Андоба
10685,Река,Андоба,река  Кострома,122,914,Кострома
10686,Река,Светица,река  Кострома,35,300,Кострома
10687,Река,Мерзкая,река  Светица,14,0,Светица
10688,Река,Комраш,река  Светица,17,"67,1",Светица
10689,Озеро,Светлое,река  РУТКА,"0,54",0,РУТКА
10690,Озеро,Светлое,река  Люнда,"0,56",0,Люнда
10691,Река,Свеча,река  Малая  Какша,26,105,Малая  Какша
10692,Река,СВИЯГА,река  Волга,36,250,Волга
10693,Река,Бирля,река  Свияга,48,385,Свияга
10694,Река,Карла  (Карлы),река  Свияга,89,1000,Свияга
10695,Ручьи,руч.  Бугурна  (Чечера),река  Свияга,27,153,Свияга
10696,Река,овр.  Сухой  Дол,река  Свияга,16,"56,4",Свияга
10697,Река,овр.  Крутец,река  Свияга,15,"34,4",Свияга
10698,Ручьи,руч.  Сухой  Бирюч,река  Свияга,25,138,Свияга
10699,Река,овр.  Михайловский,река  Свияга,13,"49,2",Свияга
10700,Река,Грязнушка  (овр.  Бухтеевский),река  Свияга,18,121,Свияга
10701,Ручьи,руч.  Суходол,река  Свияга,14,65,Свияга
10702,Ручьи,руч.  Буториха,река  Свияга,11,"40,7",Свияга
10703,Река,Гуща,река  Свияга,59,973,Свияга
10704,Ручьи,руч.  Суров,река  Свияга,19,85,Свияга
10705,Река,"без  названия,  у  с.  Спешневки",река  Свияга,14,82,Свияга
10706,Река,"без  названия,  у  с.  Андреевки",река  Свияга,11,83,Свияга
10707,Река,"без  названия,  у  с.  Порецкого",река  Свияга,12,63,Свияга
10708,Река,овр.  Трубецкой,река  Свияга,10,"57,6",Свияга
10709,Река,"без  названия,  у  с.  Баевки",река  Свияга,11,"68,5",Свияга
10710,Река,Атяшевка,река  Свияга,11,"56,4",Свияга
10711,Озеро,Своё,озеро  Ванюшинское,"0,32",0,Ванюшинское
10713,Река,Святица,река  Вига,26,"99,6",Вига
10714,Река,Святица,река  Княжая,19,161,Княжая
10715,Река,Святица,"река  Лочмяш  (Лачмяш,  Гусинка)",10,0,"Лочмяш  (Лачмяш,  Гусинка)"
10716,Река,Святичка,озеро  Галичское,14,0,Галичское
10718,Озеро,Святовское,река  Молога,"1,56",0,Молога
10719,Озеро,Святое,река  Кушалка,"1,6",0,Кушалка
10720,Река,Кушалка,река  Медведица,41,289,Медведица
10721,Озеро,Святое,озеро  Долгое,"0,52",8,Долгое
10722,Озеро,Святозеро,река  Киуй,"0,96","37,4",Киуй
10723,Озеро,Ананьино,озеро  Святозеро,"2,35","30,8",Святозеро
10724,Озеро,Святозеро,озеро  Лундозеро,"0,72","11,4",Лундозеро
10725,Озеро,Святозеро,река  Лидь,"2,4","17,5",Лидь
10726,Река,Лидь,озеро  Пелушское,16,"84,7",Пелушское
10727,Озеро,Сгоща,река  Волчина,"1,16",6,Волчина
10728,Река,Волчина,река  Молога,106,3050,Молога
10729,Река,"без  названия,  у  с.  Заручье",река  Себла,12,0,Себла
10731,Река,Северная  Большая,река  Карюг,10,0,Карюг
10732,Река,Карюг,река  ВОХМА,78,306,ВОХМА
10733,Река,Северный  Козленец,река  КЕРЖЕНЕЦ,39,235,КЕРЖЕНЕЦ
10734,Река,Сеготь,водохранилище  вдхр  Горьковское,12,0,вдхр  Горьковское
10736,Река,Сежа,река  Касня,66,573,Касня
10737,Ручьи,руч.  Холодный,река  Сежа,12,0,Сежа
10738,Река,Ветца,река  Сежа,14,0,Сежа
10739,Озеро,Сеза,река  Индоманка  (Большая  Индоманка),"0,88","9,1",Индоманка  (Большая  Индоманка)
10740,Озеро,Долгий  Мост,озеро  Сеза,"0,32",0,Сеза
10742,Река,Секша,река  Кострома,11,0,Кострома
10743,Река,Селесня,река  Лама,16,"40,6",Лама
10744,Озеро,Белое,озеро  Селигер,"0,3",0,Селигер
10745,Озеро,Большой  Жетонег,озеро  Селигер,"0,62","6,6",Селигер
10746,Озеро,Большой  Ржанец,озеро  Селигер,"0,38",0,Селигер
10747,Река,Глубочица,озеро  Селигер,"8,6","87,5",Селигер
10748,Озеро,Залецкое,озеро  Селигер,"1,010",0,Селигер
10749,Озеро,Корегощ,озеро  Селигер,"1,2","15,5",Селигер
10750,Река,Крапивенка,озеро  Селигер,25,207,Селигер
10751,Река,Мошенка  (Замошенка),озеро  Селигер,26,93,Селигер
10752,Озеро,Полонец,озеро  Селигер,2,"16,6",Селигер
10753,Озеро,Полоновка,озеро  Селигер,"0,8",0,Селигер
10754,Озеро,Святое,озеро  Селигер,"0,84",19,Селигер
10755,Река,Селиевка,река  АЛАТЫРЬ,11,0,АЛАТЫРЬ
10756,Озеро,Долгое,река  Селижаровка,"0,33",0,Селижаровка
10757,Река,Волостниковичка  (Волосниковичка),"река  Сельда  (Сельд,  Сельдь)",14,"74,5","Сельда  (Сельд,  Сельдь)"
10758,Река,Гордеевка,"река  Сельда  (Сельд,  Сельдь)",14,"86,4","Сельда  (Сельд,  Сельдь)"
10759,Река,Сельма  (Малая  Сельма),река  Кострома,34,296,Кострома
10760,Река,Корба,река  Сельма  (Малая  Сельма),14,0,Сельма  (Малая  Сельма)
10761,Река,Ламса,река  Сельма  (Малая  Сельма),20,"76,8",Сельма  (Малая  Сельма)
10762,Река,Пегуза,река  Сельма  (Малая  Сельма),10,0,Сельма  (Малая  Сельма)
10763,Река,Сельница,река  Медведица,36,190,Медведица
10765,Река,Семилейка,река  Большая  Кша,19,"88,5",Большая  Кша
10766,Река,Семилейка,река  БАРЫШ,12,0,БАРЫШ
10767,Река,Семит 61    по  лв.  берегу  р.  Ашит,в  61    от  устья,24,153,в  61    от  устья
10769,Река,Семченка,водохранилище  вдхр  Горьковское,11,0,вдхр  Горьковское
10770,Река,Семынь  (Латынь),река  Поведь,39,191,Поведь
10771,Река,Коростовка,река  Семынь  (Латынь),11,0,Семынь  (Латынь)
10772,Река,Семытинка,река  Молога,43,245,Молога
10773,Река,Сенга,река  Ижма,24,135,Ижма
10774,Река,Сендега,река  Мера,64,466,Мера
10775,Река,Порнышиха,река  Сендега,14,0,Сендега
10776,Река,Куекша  (Кускша),река  Сендега,34,154,Сендега
10777,Река,Лузога,река  Сендега,16,"61,6",Сендега
10778,Река,Сендюга,река  Номжа,12,0,Номжа
10779,Река,Номжа,река  Нея,39,252,Нея
10780,Река,Сенна,река  Звана,10,0,Звана
10781,Ручьи,руч.  Паузер,река  Сенная,10,0,Сенная
10782,Озеро,Сенное,река  Колпь,"0,3",0,Колпь
10783,Река,Сентега,река  Корега,21,"49,2",Корега
10784,Река,Корега,река  Кострома,62,409,Кострома
10785,Река,Сентушка,река  Кера,14,0,Кера
10786,Река,Кера,водохранилище  вдхр  Горьковское,29,107,вдхр  Горьковское
10787,Озеро,Сепатозеро,река  Малая  Сепатка,"1,24",64,Малая  Сепатка
10788,Река,Серахта,река  Кострома,17,"52,1",Кострома
10789,Река,Серговка  (Дубровка),река  Волга,15,"47,4",Волга
10790,Ручьи,руч.  Широкий,"река  Сердемь  (Сердема,  Сормо)",11,0,"Сердемь  (Сердема,  Сормо)"
10792,Река,Середница,река  Ворожба,27,230,Ворожба
10793,Река,Гнилуха,река  Середница,10,0,Середница
