date,level
2019-04-17,258.0
2019-04-18,254.0
2019-04-19,252.0
2019-04-20,252.0
2019-04-21,254.0
2019-04-22,254.0
2019-04-23,256.0
2019-04-24,256.0
2019-04-25,262.0
2019-04-26,272.0
2019-04-27,292.0
2019-04-28,311.0
2019-04-29,332.0
2019-04-30,351.0
2019-05-01,370.0
2019-05-02,389.0
2019-05-03,389.0
2019-05-04,422.0
2019-05-05,440.0
2019-05-06,455.0
2019-05-07,470.0
2019-05-08,483.0
2019-05-09,495.0
2019-05-10,504.0
2019-05-11,511.0
2019-05-12,516.0
2019-05-13,518.0
2019-05-14,518.0
2019-05-15,516.0
2019-05-16,514.0
2019-05-17,509.0
2019-05-18,504.0
2019-05-19,494.0
2019-05-20,483.0
2019-05-21,468.0
2019-05-22,455.0
2019-05-23,434.0
2019-05-24,416.0
2019-05-25,409.0
2019-05-26,366.0
2019-05-27,340.0
2019-05-28,312.0
2019-05-29,292.0
2019-05-30,282.0
2019-05-31,276.0
2019-06-01,264.0
2019-06-02,255.0
2019-06-03,246.0
2019-06-04,243.0
2019-06-05,238.0
2019-06-06,236.0
2019-06-07,232.0
2019-06-08,231.0
2019-06-09,231.0
2019-06-10,230.0
2019-06-11,230.0
2019-06-12,230.0
2019-06-13,230.0
2019-06-14,228.0
2019-06-15,228.0
2019-06-16,228.0
2019-06-17,230.0
2019-06-18,230.0
2019-06-19,232.0
2019-06-20,232.0
2019-06-21,232.0
2019-06-22,234.0
2019-06-23,234.0
2019-06-24,236.0
2019-06-25,238.0
2019-06-26,238.0
2019-06-27,240.0
2019-06-28,240.0
2019-06-29,240.0
2019-06-30,241.0
2019-07-01,242.0
2019-07-02,242.0
2019-07-03,244.0
2019-07-04,240.0
2019-07-05,238.0
2019-07-06,238.0
2019-07-07,236.0
2019-07-08,236.0
2019-07-09,236.0
2019-07-10,236.0
2019-07-11,236.0
2019-07-12,236.0
2019-07-13,236.0
2019-07-14,236.0
2019-07-15,236.0
2019-07-16,236.0
2019-07-17,236.0
2019-07-18,236.0
2019-07-19,236.0
2019-07-20,236.0
2019-07-21,236.0
2019-07-22,236.0
2019-07-23,236.0
2019-07-24,236.0
2019-07-25,236.0
2019-07-26,236.0
2019-07-27,236.0
2019-07-28,236.0
2019-07-29,234.0
2019-07-30,234.0
2019-07-31,234.0
2019-08-01,236.0
2019-08-02,236.0
2019-08-03,236.0
2019-08-04,236.0
2019-08-05,236.0
2019-08-06,234.0
2019-08-07,234.0
2019-08-08,234.0
2019-08-09,234.0
2019-08-10,234.0
2019-08-11,236.0
2019-08-12,237.0
2019-08-13,238.0
2019-08-14,238.0
2019-08-15,238.0
2019-08-16,239.0
2019-08-17,239.0
2019-08-18,236.0
2019-08-19,234.0
2019-08-20,234.0
2019-08-21,236.0
2019-08-22,238.0
2019-08-23,238.0
2019-08-24,238.0
2019-08-25,242.0
2019-08-26,243.0
2019-08-27,243.0
2019-08-28,249.0
2019-08-29,255.0
2019-08-30,257.0
2019-08-31,268.0
2019-09-01,276.0
2019-09-02,289.0
2019-09-03,295.0
2019-09-04,306.0
2019-09-05,312.0
2019-09-06,312.0
2019-09-07,312.0
2019-09-08,318.0
2019-09-09,316.0
2019-09-10,316.0
2019-09-11,302.0
2019-09-12,295.0
2019-09-13,284.0
2019-09-14,276.0
2019-09-15,272.0
2019-09-16,268.0
2019-09-17,266.0
2019-09-18,264.0
2019-09-19,261.0
2019-09-20,258.0
2019-09-21,258.0
2019-09-22,256.0
2019-09-23,256.0
2019-09-24,258.0
2019-09-25,258.0
2019-09-26,256.0
2019-09-27,256.0
2019-09-28,256.0
2019-09-29,256.0
2019-09-30,256.0
2019-10-01,256.0
2019-10-02,256.0
2019-10-03,256.0
2019-10-04,256.0
2019-10-05,256.0
2019-10-06,256.0
2019-10-07,258.0
2019-10-08,258.0
2019-10-09,258.0
2019-10-10,258.0
2019-10-11,258.0
2019-10-12,258.0
2019-10-13,256.0
2019-10-14,256.0
2019-10-15,254.0
2019-10-16,254.0
2019-10-17,250.0
2019-10-18,248.0
2019-10-19,248.0
2019-10-20,246.0
2019-10-21,248.0
2019-10-22,248.0
2019-10-23,248.0
2019-10-24,248.0
2019-10-25,248.0
2019-10-26,248.0
2019-10-27,248.0
2019-10-28,248.0
2019-10-29,254.0
2019-10-30,259.0
2019-10-31,274.0
2019-11-01,281.0
2019-11-02,285.0
2019-11-03,288.0
2019-11-04,294.0
2019-11-05,299.0
2019-11-06,302.0
2019-11-07,316.0
2019-11-08,326.0
2019-11-09,330.0
2019-11-10,332.0
2019-11-11,337.0
2019-11-12,344.0
2019-11-13,348.0
2019-11-14,348.0
2019-11-15,348.0
2019-11-16,352.0
2019-11-17,354.0
2019-11-18,356.0
2019-11-19,378.0
2019-11-20,392.0
2019-11-21,400.0
2019-11-22,408.0
2019-11-23,414.0
2019-11-24,414.0
2019-11-25,432.0
2019-11-26,441.0
2019-11-27,444.0
2019-11-28,447.0
2019-11-29,445.0
2019-11-30,440.0
2019-12-01,434.0
2019-12-02,432.0
2019-12-03,427.0
2019-12-04,421.0
2019-12-05,402.0
2019-12-06,389.0
2019-12-07,389.0
2019-12-08,389.0
2019-12-09,356.0
2019-12-11,344.0
2019-12-12,324.0
2019-12-13,324.0
2019-12-14,324.0
2019-12-15,324.0
2019-12-16,324.0
2019-12-17,324.0
2019-12-18,324.0
2019-12-19,324.0
2019-12-20,324.0
2019-12-21,324.0
2019-12-22,324.0
2019-12-23,324.0
2019-12-24,324.0
2019-12-25,324.0
2019-12-26,324.0
2019-12-27,324.0
2019-12-28,324.0
2019-12-29,324.0
2019-12-30,324.0
2019-12-31,324.0
2020-01-01,324.0
2020-01-02,324.0
2020-01-03,324.0
2020-01-04,324.0
2020-01-05,324.0
2020-01-06,324.0
2020-01-07,324.0
2020-01-08,324.0
2020-01-09,324.0
2020-01-10,324.0
2020-01-11,324.0
2020-01-12,324.0
2020-01-13,324.0
2020-01-14,324.0
2020-01-15,324.0
2020-01-16,324.0
2020-01-17,324.0
2020-01-18,324.0
2020-01-19,324.0
2020-01-20,324.0
2020-01-21,324.0
2020-01-22,324.0
2020-01-23,324.0
2020-01-24,324.0
2020-01-25,324.0
2020-01-26,324.0
2020-01-27,324.0
